DATE_2,YEAR,Avg. time in level flight (seconds)
"Mar 1, 2020",2019,204.18653259518697
"Mar 1, 2020",2020,231.4221500811587
"Mar 2, 2020",2020,226.24821683309557
"Mar 2, 2020",2019,221.53204504379258
"Mar 3, 2020",2019,251.02081268582756
"Mar 3, 2020",2020,200.95410005157296
"Mar 4, 2020",2020,195.37430450177035
"Mar 4, 2020",2019,283.74840727441216
"Mar 5, 2020",2020,218.82029492626845
"Mar 5, 2020",2019,221.1991746571186
"Mar 6, 2020",2019,220.5314353499407
"Mar 6, 2020",2020,198.47478176527642
"Mar 7, 2020",2020,188.16090202651228
"Mar 7, 2020",2019,251.6446911866759
"Mar 8, 2020",2020,205.0955581916436
"Mar 8, 2020",2019,237.34659283534862
"Mar 9, 2020",2020,199.22794117647058
"Mar 9, 2020",2019,250.37202797202798
"Mar 10, 2020",2020,224.08808749630506
"Mar 10, 2020",2019,294.57362419434804
"Mar 11, 2020",2020,188.9417828987265
"Mar 11, 2020",2019,249.18987341772151
"Mar 12, 2020",2019,237.44412050534498
"Mar 12, 2020",2020,210.3875743939614
"Mar 13, 2020",2020,190.35551763367462
"Mar 13, 2020",2019,250.1657458563536
"Mar 14, 2020",2020,180.68865002732738
"Mar 14, 2020",2019,286.2395348837209
"Mar 15, 2020",2020,179.10243576910244
"Mar 15, 2020",2019,270.88202372957244
"Mar 16, 2020",2020,163.22406340057637
"Mar 16, 2020",2019,266.2312543798178
"Mar 17, 2020",2020,131.89631013545073
"Mar 17, 2020",2019,226.14990234375
"Mar 18, 2020",2020,117.70816599732262
"Mar 18, 2020",2019,200.97566522629066
"Mar 19, 2020",2020,124.13120567375887
"Mar 19, 2020",2019,175.6185744080481
"Mar 20, 2020",2020,126.06030944111146
"Mar 20, 2020",2019,180.15856111702757
"Mar 21, 2020",2020,127.33003151733453
"Mar 21, 2020",2019,179.16464190674535
"Mar 22, 2020",2020,121.05169340463458
"Mar 22, 2020",2019,189.08457040035987
"Mar 23, 2020",2020,115.31940298507463
"Mar 23, 2020",2019,168.4833050367855
"Mar 24, 2020",2019,171.12005856515373
"Mar 24, 2020",2020,102.6404874746107
"Mar 25, 2020",2020,108.4985835694051
"Mar 25, 2020",2019,197.32028428288478
"Mar 26, 2020",2020,108.14461118690313
"Mar 26, 2020",2019,169.78134110787173
"Mar 27, 2020",2020,104.83250178189594
"Mar 27, 2020",2019,156.60498220640568
"Mar 28, 2020",2020,109.39922480620154
"Mar 28, 2020",2019,172.46825213576543
"Mar 29, 2020",2020,99.23809523809524
"Mar 29, 2020",2019,184.4125881957666
"Mar 30, 2020",2020,93.14465408805032
"Mar 30, 2020",2019,161.81741454494303
"Mar 31, 2020",2020,89.87927565392354
"Mar 31, 2020",2019,223.5745077478737
"Apr 1, 2020",2019,199.81947130883302
"Apr 1, 2020",2020,97.83385909568875
"Apr 2, 2020",2019,207.16563330380868
"Apr 2, 2020",2020,86.74698795180723
"Apr 3, 2020",2019,215.8045914481558
"Apr 3, 2020",2020,77.83209351753453
"Apr 4, 2020",2019,256.2318524178583
"Apr 4, 2020",2020,101.7320703653586
"Apr 5, 2020",2019,244.65244031269808
"Apr 5, 2020",2020,94.40401505646173
"Apr 6, 2020",2019,235.64158066951924
"Apr 6, 2020",2020,78.7080745341615
"Apr 7, 2020",2019,214.91617580425918
"Apr 7, 2020",2020,91.267252195734
"Apr 8, 2020",2019,213.9866652555826
"Apr 8, 2020",2020,100.19300361881785
"Apr 9, 2020",2019,215.4958904109589
"Apr 9, 2020",2020,96.34824667472793
"Apr 10, 2020",2019,231.47547974413646
"Apr 10, 2020",2020,104.50867052023122
"Apr 11, 2020",2020,101.54605263157895
"Apr 11, 2020",2019,216.95652173913044
"Apr 12, 2020",2019,223.04698820120058
"Apr 12, 2020",2020,81.37931034482759
"Apr 13, 2020",2019,220.05893909626718
"Apr 13, 2020",2020,100.61093247588424
"Apr 14, 2020",2020,100.43290043290044
"Apr 14, 2020",2019,229.54499494438826
"Apr 15, 2020",2020,97.17852684144819
"Apr 15, 2020",2019,243.30930537352555
"Apr 16, 2020",2019,195.6553205925591
"Apr 16, 2020",2020,101.49509803921569
"Apr 17, 2020",2019,208.3417416100022
"Apr 17, 2020",2020,90.95354523227384
"Apr 18, 2020",2020,101.13452188006482
"Apr 18, 2020",2019,217.6260481324186
"Apr 19, 2020",2020,120.57471264367815
"Apr 19, 2020",2019,213.85553047404062
"Apr 20, 2020",2020,105.38172715894869
"Apr 20, 2020",2019,203.62553838358247
"Apr 21, 2020",2019,193.07728557964185
"Apr 21, 2020",2020,107.21271393643032
"Apr 22, 2020",2019,211.81978798586573
"Apr 22, 2020",2020,106.07442977190877
"Apr 23, 2020",2019,223.8382737576286
"Apr 23, 2020",2020,100.65022421524664
"Apr 24, 2020",2019,245.1317795687214
"Apr 24, 2020",2020,91.26857142857143
"Apr 25, 2020",2019,238.39957035445758
"Apr 25, 2020",2020,113.33333333333333
"Apr 26, 2020",2020,100.57142857142857
"Apr 26, 2020",2019,244.22509589041096
"Apr 27, 2020",2020,98.18411097099622
"Apr 27, 2020",2019,230.30370923574807
"Apr 28, 2020",2019,197.5262437243268
"Apr 28, 2020",2020,102.41784037558685
"Apr 29, 2020",2020,105.12249443207126
"Apr 29, 2020",2019,223.02701505757307
"Apr 30, 2020",2020,122.95973884657236
"Apr 30, 2020",2019,217.50607849947897
"May 1, 2020",2020,107.61194029850746
"May 1, 2020",2019,196.80169073617472
"May 2, 2020",2020,105.65656565656566
"May 2, 2020",2019,211.8782180434296
"May 3, 2020",2020,98.0340760157274
"May 3, 2020",2019,213.08120600903456
"May 4, 2020",2020,109.8581560283688
"May 4, 2020",2019,234.68617728866852
"May 5, 2020",2020,133.40159271899887
"May 5, 2020",2019,213.27113062568606
"May 6, 2020",2020,100.33970276008493
"May 6, 2020",2019,205.69608355091384
"May 7, 2020",2020,85.81443298969072
"May 7, 2020",2019,203.39023081052068
"May 8, 2020",2020,79.32098765432099
"May 8, 2020",2019,266.3539445628998
"May 9, 2020",2020,123.13471502590673
"May 9, 2020",2019,204.09915492957745
"May 10, 2020",2020,119.70767356881852
"May 10, 2020",2019,216.56549027677744
"May 11, 2020",2019,231.03523166023166
"May 11, 2020",2020,138.52631578947367
"May 12, 2020",2020,107.01271186440678
"May 12, 2020",2019,229.73920666228358
"May 13, 2020",2020,148.7662874870734
"May 13, 2020",2019,251.53083585516018
"May 14, 2020",2019,232.01247043646526
"May 14, 2020",2020,125.9546313799622
"May 15, 2020",2019,251.27688884179295
"May 15, 2020",2020,110.79696394686907
"May 16, 2020",2019,243.2180260234846
"May 16, 2020",2020,125.85485854858548
"May 17, 2020",2020,87.89533560864619
"May 17, 2020",2019,263.61316178021514
"May 18, 2020",2019,221.9869785387027
"May 18, 2020",2020,98.62564102564103
"May 19, 2020",2019,230.2268954067515
"May 19, 2020",2020,81.47325933400606
"May 20, 2020",2019,206.737820987002
"May 20, 2020",2020,103.64468864468864
"May 21, 2020",2019,209.2180251822399
"May 21, 2020",2020,109.5774647887324
"May 22, 2020",2019,205.19285638803763
"May 22, 2020",2020,96.67318982387475
"May 23, 2020",2019,200.7408180300501
"May 23, 2020",2020,99.23444976076556
"May 24, 2020",2020,83.10699588477367
"May 24, 2020",2019,195.49826069163086
"May 25, 2020",2019,203.01337153772684
"May 25, 2020",2020,95.86206896551724
"May 26, 2020",2019,199.19617640669128
"May 26, 2020",2020,100.15594541910332
"May 27, 2020",2019,205.41632145816072
"May 27, 2020",2020,115.34296028880867
"May 28, 2020",2019,216.9607843137255
"May 28, 2020",2020,109.73118279569893
"May 29, 2020",2020,115.36630036630036
"May 29, 2020",2019,216.97095435684648
"May 30, 2020",2019,193.08191313908742
"May 30, 2020",2020,116.07565011820331
"May 31, 2020",2019,185.43172473490586
"May 31, 2020",2020,110.25358324145535
"Jun 1, 2020",2020,98.92307692307692
"Jun 1, 2020",2019,180.17459006724076
"Jun 2, 2020",2020,113.10408921933086
"Jun 2, 2020",2019,218.56409181427523
"Jun 3, 2020",2019,210.5172766305459
"Jun 3, 2020",2020,115.4979079497908
"Jun 4, 2020",2019,237.412303528677
"Jun 4, 2020",2020,113.2518337408313
"Jun 5, 2020",2020,121.33227597145122
"Jun 5, 2020",2019,217.61018001241465
"Jun 6, 2020",2020,119.34493346980553
"Jun 6, 2020",2019,226.8995452666391
"Jun 7, 2020",2020,103.44028520499108
"Jun 7, 2020",2019,275.38102011786225
"Jun 8, 2020",2019,244.2649663478569
"Jun 8, 2020",2020,108.80763116057234
"Jun 9, 2020",2019,199.4830620325561
"Jun 9, 2020",2020,110.11197243755383
"Jun 10, 2020",2019,226.98020320519535
"Jun 10, 2020",2020,116.21320604614161
"Jun 11, 2020",2019,213.6452643512316
"Jun 11, 2020",2020,130.0877893056664
"Jun 12, 2020",2020,122.70688321732405
"Jun 12, 2020",2019,242.69483182936833
"Jun 13, 2020",2020,111.77372962607862
"Jun 13, 2020",2019,236.60723279943588
"Jun 14, 2020",2020,82.60285474391267
"Jun 14, 2020",2019,217.9846506528456
"Jun 15, 2020",2020,97.20930232558139
"Jun 15, 2020",2019,208.6332600393473
"Jun 16, 2020",2020,92.61433447098976
"Jun 16, 2020",2019,208.44749340369393
"Jun 17, 2020",2020,111.05793450881612
"Jun 17, 2020",2019,207.7074148296593
"Jun 18, 2020",2020,105.7125
"Jun 18, 2020",2019,225.6059204440333
"Jun 19, 2020",2020,99.25382262996942
"Jun 19, 2020",2019,214.73211552199203
"Jun 20, 2020",2020,98.93081761006289
"Jun 20, 2020",2019,228.4307882026513
"Jun 21, 2020",2020,88.88888888888889
"Jun 21, 2020",2019,206.06780702652873
"Jun 22, 2020",2020,98.32466782206816
"Jun 22, 2020",2019,228.11431248535956
"Jun 23, 2020",2020,103.00839251129761
"Jun 23, 2020",2019,232.43071041733037
"Jun 24, 2020",2020,115.31542056074767
"Jun 24, 2020",2019,216.39349888956187
"Jun 25, 2020",2019,199.9753972321886
"Jun 25, 2020",2020,118.3467278989667
"Jun 26, 2020",2019,214.5054048541709
"Jun 26, 2020",2020,118.63013698630137
"Jun 27, 2020",2019,246.5120048627292
"Jun 27, 2020",2020,107.39336492890995
"Jun 28, 2020",2019,212.057812815848
"Jun 28, 2020",2020,98.71527777777777
"Jun 29, 2020",2020,113.4747145187602
"Jun 29, 2020",2019,198.67642016230425
"Jun 30, 2020",2019,189.8507462686567
"Jun 30, 2020",2020,111.68282943525385
"Jul 1, 2020",2019,223.8395061728395
"Jul 1, 2020",2020,115.31118747613593
"Jul 2, 2020",2019,212.1853618080033
"Jul 2, 2020",2020,121.73946069122674
"Jul 3, 2020",2019,237.01099804707576
"Jul 3, 2020",2020,110.33910034602076
"Jul 4, 2020",2019,219.90385598854454
"Jul 4, 2020",2020,115.06672058228872
"Jul 5, 2020",2020,116.19472315124489
"Jul 5, 2020",2019,201.49349994961202
"Jul 6, 2020",2019,199.35386753126448
"Jul 6, 2020",2020,122.1627486437613
"Jul 7, 2020",2019,221.4219839142091
"Jul 7, 2020",2020,104.34267666798263
"Jul 8, 2020",2019,219.23976013822542
"Jul 8, 2020",2020,115.85383502170767
"Jul 9, 2020",2019,205.9151138716356
"Jul 9, 2020",2020,118.45986196876134
"Jul 10, 2020",2020,115.79859953317772
"Jul 10, 2020",2019,195.22847923389196
"Jul 11, 2020",2019,195.39135752140237
"Jul 11, 2020",2020,119.86572174561731
"Jul 12, 2020",2020,108.75835385156525
"Jul 12, 2020",2019,213.70324702013974
"Jul 13, 2020",2020,115.46468401486989
"Jul 13, 2020",2019,211.13701291280995
"Jul 14, 2020",2020,103.73333333333333
"Jul 14, 2020",2019,220.90778036887852
"Jul 15, 2020",2020,114.77674108630457
"Jul 15, 2020",2019,225.2459349593496
"Jul 16, 2020",2020,115.49492385786802
"Jul 16, 2020",2019,192.37567906393647
"Jul 17, 2020",2020,115.02235469448584
"Jul 17, 2020",2019,198.08760794922486
"Jul 18, 2020",2020,112.22628951747089
"Jul 18, 2020",2019,215.10329941412272
"Jul 19, 2020",2020,104.17283950617283
"Jul 19, 2020",2019,216.67923374770734
"Jul 20, 2020",2020,132.2109113075282
"Jul 20, 2020",2019,221.28208079180573
"Jul 21, 2020",2020,127.04768439108062
"Jul 21, 2020",2019,201.48579906740144
"Jul 22, 2020",2020,126.9312459651388
"Jul 22, 2020",2019,188.16564417177915
"Jul 23, 2020",2020,123.9903094717099
"Jul 23, 2020",2019,207.5582744436241
"Jul 24, 2020",2020,129.19107351225205
"Jul 24, 2020",2019,201.93637621023512
"Jul 25, 2020",2020,126.85236593059938
"Jul 25, 2020",2019,226.4920127795527
"Jul 26, 2020",2020,122.41062369441957
"Jul 26, 2020",2019,201.31595543409713
"Jul 27, 2020",2019,211.00525394045533
"Jul 27, 2020",2020,130.14704992435705
"Jul 28, 2020",2019,221.97400401563985
"Jul 28, 2020",2020,122.03542234332426
"Jul 29, 2020",2020,115.4620891636837
"Jul 29, 2020",2019,212.7989434115615
"Jul 30, 2020",2020,131.6703431372549
"Jul 30, 2020",2019,224.97014143530643
"Jul 31, 2020",2020,127.22574367528496
"Jul 31, 2020",2019,212.15389401638495
"Aug 1, 2020",2020,121.79692645444567
"Aug 1, 2020",2019,199.49270110777513
"Aug 2, 2020",2020,127.0002555583951
"Aug 2, 2020",2019,222.5419909873003
"Aug 3, 2020",2020,133.15258097165992
"Aug 3, 2020",2019,205.8831537152581
"Aug 4, 2020",2020,122.24788321167883
"Aug 4, 2020",2019,195.13010365982652
"Aug 5, 2020",2020,115.72437482824952
"Aug 5, 2020",2019,215.1183371064005
"Aug 6, 2020",2020,117.04599246906939
"Aug 6, 2020",2019,214.85441020191286
"Aug 7, 2020",2020,122.12454390659207
"Aug 7, 2020",2019,238.66894562546736
"Aug 8, 2020",2020,126.92008412197687
"Aug 8, 2020",2019,218.96294741261678
"Aug 9, 2020",2019,248.82907133243606
"Aug 9, 2020",2020,140.4133565044687
"Aug 10, 2020",2019,242.14997137950772
"Aug 10, 2020",2020,129.97136397889977
"Aug 11, 2020",2020,120.96865671641791
"Aug 11, 2020",2019,218.15319598520867
"Aug 12, 2020",2020,135.39589686720265
"Aug 12, 2020",2019,229.54134873169727
"Aug 13, 2020",2019,196.07925801011805
"Aug 13, 2020",2020,132.62825379609544
"Aug 14, 2020",2020,127.60685235395613
"Aug 14, 2020",2019,214.41569282136894
"Aug 15, 2020",2019,209.28961748633878
"Aug 15, 2020",2020,131.16644544730553
"Aug 16, 2020",2020,138.81704013789707
"Aug 16, 2020",2019,216.43244348982304
"Aug 17, 2020",2020,132.08972756810797
"Aug 17, 2020",2019,204.49960150290335
"Aug 18, 2020",2020,118.11679905854663
"Aug 18, 2020",2019,219.9957863689034
"Aug 19, 2020",2019,214.36017035084163
"Aug 19, 2020",2020,124.38564646746718
"Aug 20, 2020",2019,192.4931564539903
"Aug 20, 2020",2020,115.90412426352437
"Aug 21, 2020",2019,202.4953636925613
"Aug 21, 2020",2020,119.36039119804401
"Aug 22, 2020",2019,202.77556033159348
"Aug 22, 2020",2020,124.47120559741657
"Aug 23, 2020",2020,114.88120039682539
"Aug 23, 2020",2019,189.06382122005235
"Aug 24, 2020",2020,122.32562232838823
"Aug 24, 2020",2019,191.83363970588235
"Aug 25, 2020",2020,122.97507418397626
"Aug 25, 2020",2019,195.35400571489046
"Aug 26, 2020",2020,135.33509454949944
"Aug 26, 2020",2019,206.82558841279422
"Aug 27, 2020",2020,125.14304635761589
"Aug 27, 2020",2019,190.565371024735
"Aug 28, 2020",2019,193.03416211845564
"Aug 28, 2020",2020,147.425506268081
"Aug 29, 2020",2020,139.54869868526964
"Aug 29, 2020",2019,199.31777017508554
"Aug 30, 2020",2020,145.53802469135803
"Aug 30, 2020",2019,191.21024204840967
"Aug 31, 2020",2020,135.68962219033955
"Aug 31, 2020",2019,202.4595988538682
"Sep 1, 2020",2019,183.34931287951423
"Sep 1, 2020",2020,126.99520180637877
"Sep 2, 2020",2020,120.6600110926234
